sample_frac,from_var,to_var,edge_type,edge_str,freq
0.5,rmssd_mean_tm1,hr_average_mean_tm1,directed,rmssd_mean_tm1 -> hr_average_mean_tm1,0.614
0.5,breath_average_mean_tm1,hr_average_mean_tm1,directed,breath_average_mean_tm1 -> hr_average_mean_tm1,0.477
0.5,hr_lowest_mean_tm1,hr_average_mean_tm1,directed,hr_lowest_mean_tm1 -> hr_average_mean_tm1,0.595
0.5,breath_average_std_tm1,hr_average_std_tm1,directed,breath_average_std_tm1 -> hr_average_std_tm1,0.739
0.5,temperature_deviation_mean_tm1,hr_average_std_tm1,directed,temperature_deviation_mean_tm1 -> hr_average_std_tm1,0.432
0.5,efficiency_std_tm1,hr_average_std_tm1,directed,efficiency_std_tm1 -> hr_average_std_tm1,0.708
0.5,temperature_trend_deviation_std_tm1,rmssd_std_tm1,directed,temperature_trend_deviation_std_tm1 -> rmssd_std_tm1,0.546
0.5,deep_std_tm1,rmssd_std_tm1,directed,deep_std_tm1 -> rmssd_std_tm1,0.556
0.5,rmssd_std_tm1,hr_average_std_t,directed,rmssd_std_tm1 -> hr_average_std_t,0.303
0.5,temperature_trend_deviation_mean_tm1,breath_average_mean_tm1,directed,temperature_trend_deviation_mean_tm1 -> breath_average_mean_tm1,0.294
0.5,awake_std_tm1,breath_average_std_tm1,directed,awake_std_tm1 -> breath_average_std_tm1,0.807
0.5,breath_average_std_tm1,hr_average_std_t,directed,breath_average_std_tm1 -> hr_average_std_t,0.311
0.5,temperature_max_mean_tm1,hr_lowest_std_tm1,directed,temperature_max_mean_tm1 -> hr_lowest_std_tm1,0.476
0.5,temperature_max_std_tm1,hr_lowest_std_tm1,directed,temperature_max_std_tm1 -> hr_lowest_std_tm1,0.424
0.5,efficiency_std_tm1,hr_lowest_std_tm1,directed,efficiency_std_tm1 -> hr_lowest_std_tm1,0.335
0.5,deep_std_tm1,hr_lowest_std_tm1,directed,deep_std_tm1 -> hr_lowest_std_tm1,0.098
0.5,deep_std_tm1,breath_v_average_std_tm1,directed,deep_std_tm1 -> breath_v_average_std_tm1,0.206
0.5,rem_std_tm1,breath_v_average_std_tm1,directed,rem_std_tm1 -> breath_v_average_std_tm1,0.481
0.5,temperature_trend_deviation_mean_tm1,temperature_deviation_std_tm1,directed,temperature_trend_deviation_mean_tm1 -> temperature_deviation_std_tm1,0.224
0.5,temperature_trend_deviation_std_tm1,temperature_deviation_std_tm1,directed,temperature_trend_deviation_std_tm1 -> temperature_deviation_std_tm1,0.224
0.5,temperature_deviation_std_tm1,light_std_tm1,directed,temperature_deviation_std_tm1 -> light_std_tm1,0.298
0.5,temperature_max_std_tm1,light_std_tm1,directed,temperature_max_std_tm1 -> light_std_tm1,0.589
0.5,onset_latency_mean_tm1,light_mean_tm1,directed,onset_latency_mean_tm1 -> light_mean_tm1,0.293
0.5,awake_mean_tm1,onset_latency_mean_tm1,undirected,awake_mean_tm1 -- onset_latency_mean_tm1,0.765
0.5,efficiency_std_tm1,light_std_tm1,directed,efficiency_std_tm1 -> light_std_tm1,0.751
0.5,deep_std_tm1,light_std_tm1,directed,deep_std_tm1 -> light_std_tm1,0.254
0.5,light_std_tm1,rem_std_tm1,directed,light_std_tm1 -> rem_std_tm1,0.811
